,fuv_mag,nuv_mag,Vmag,Bmag,err,variable
55,22.886,17.921,14.217,14.649,0.068818602136341,0
56,23.67,16.507,11.93,12.473,0.0557135531087364,0
57,23.735,17.52,14.137,14.724,0.0480104155366312,0
58,19.458,14.749,11.379,11.755,0.0174928556845359,0
59,22.692,15.963,10.998,11.621,0.0180277563773199,0
60,22.49,15.914,11.331,11.933,0.0257099202643648,0
61,21.732,16.264,12.667,13.162,0.0747328575661335,0
62,21.402,15.782,11.985,12.465,0.0622414652783817,0
63,20.771,17.144,14.057,14.427,0.0934772699644143,0
64,22.28,19.015,16.059,16.536,0.1122942563090383,0
65,23.791,16.736,12.498,13.014,0.0269258240356725,0
66,20.145,14.723,10.882,11.338,0.059169248769948,0
67,20.853,18.578,15.894,16.124,0.0726704891960966,0
68,20.739,19.197,15.116,15.715,0.1488623525274271,0
69,22.635,16.256,11.968,12.568,0.0,0
70,21.542,18.849,16.121,16.383,0.065,0
71,23.926,21.862,15.121,16.25,0.2684958100231733,0
72,21.855,16.136,12.358,12.836,0.0766093989011792,0
73,22.333,16.717,12.566,13.047,0.044407206622349,0
74,19.115,14.202,9.972,10.351,0.0596405902049937,0
75,22.353,16.207,11.888,12.494,0.1167604385055143,0
76,22.836,15.882,11.385,11.915,0.0417851648315523,0
77,23.335,17.961,12.122,12.9,0.0580086200490927,0
78,21.297,17.527,14.335,14.727,0.098671171068352,1
79,17.971,17.342,15.714,15.657,0.0983107318658548,0
80,23.785,18.336,14.48,14.989,0.1508641773251688,0
81,22.985,18.283,14.652,15.12,0.130384048104053,0
82,22.406,15.522,11.254,11.813,0.0468721665810318,0
83,22.944,16.105,12.707,13.243,0.0559016994374947,0
84,23.447,16.792,12.556,13.12,0.0554616984954481,0
85,23.416,19.425,15.723,15.937,0.2564390765854533,0
86,20.559,19.729,15.863,16.95,0.0949210198006742,0
87,23.709,17.342,13.712,14.189,0.0338378486313772,0
88,22.523,17.114,13.52,13.982,0.0675425791630731,0
89,22.848,17.029,13.217,13.685,0.0222036033111745,0
90,23.617,16.389,12.243,12.715,0.0802807573457052,0
91,23.252,20.612,14.47,15.288,0.0888650662521555,0
92,22.043,15.853,11.592,12.146,0.0698927750200262,0
93,19.027,18.706,16.41,17.314,0.0919238815542511,0
94,23.723,18.022,12.188,12.93,0.0382753184180092,0
95,22.497,19.236,11.954,13.008,0.0459673797382448,1
96,21.694,16.545,12.948,13.354,0.020591260281974,0
97,22.637,17.897,15.041,15.508,0.0564003546088143,0
98,23.529,18.188,14.647,15.137,0.017,0
99,24.075,19.158,15.464,15.938,0.1048904190095549,0
100,21.324,18.445,15.356,15.956,0.0488364617882991,0
101,23.415,17.152,13.026,13.55,0.0742765104188396,0
102,19.733,17.029,14.465,14.66,0.0661286624694617,0
103,21.687,16.218,12.088,12.589,0.0667308024828114,0
104,23.931,17.524,12.639,13.258,0.0408533964316309,0
105,20.368,15.44,11.359,11.825,0.0166433169770932,0
106,22.277,15.919,11.539,12.042,0.0600333240792145,0
107,23.857,16.898,12.87,13.405,0.1145425685062108,0
108,20.517,14.265,10.069,10.574,0.0592030404624627,0
